Num,X,Y,Z,Us,Description,Code,Code2
1001,261000.000,6744500.000,100.000,1001,FlatSquare,p
1002,261010.000,6744500.000,100.000,1001,FlatSquare,p
1003,261010.000,6744510.000,100.000,1001,FlatSquare,p
1004,261000.000,6744510.000,100.000,1001,FlatSquare,p
1005,261020.000,6744520.000,110.000,1002,3DSquare,p
1006,261030.000,6744520.000,120.000,1002,3DSquare,p
1007,261030.000,6744530.000,120.000,1002,3DSquare,p
1008,261020.000,6744530.000,110.000,1002,3DSquare,p
1009,261031.000,6744515.000,130.000,1001,point plan,pt
1010,260099.000,6744515.000,130.000,1001,point plan,pt
1011,261015.000,6744499.000,130.000,1002,point plan,pt
1012,261015.000,6744531.000,130.000,1002,point plan,pt
1013,260990.000,6744490.000,115.000,1003,hole,c,0.8
1014,261040.000,6744490.000,115.000,1004,hole,c,0.8
1015,261000.000,6744540.000,100.000,1005,limit,l
1016,261010.000,6744540.000,110.000,1005,limit,l
1017,261015.000,6744550.000,120.000,1005,limit,l
1018,261020.000,6744540.000,110.000,1005,limit,l
1019,261030.000,6744540.000,100.000,1005,limit,l
1020,260990.000,6744490.000,150.000,1001,coupe,pt cpe
1021,261040.000,6744560.000,100.000,1001,coupe,pt cpe
1022,261050.000,6744560.000,100.000,1006,surface,pt mnt
1023,261055.000,6744560.000,110.000,1006,surface,pt mnt
1024,261060.000,6744560.000,115.000,1006,surface,pt mnt
1025,261065.000,6744560.000,110.000,1006,surface,pt mnt
1026,261070.000,6744560.000,100.000,1006,surface,pt mnt
1027,261050.000,6744565.000,110.000,1006,surface,pt mnt
1028,261055.000,6744565.000,120.000,1006,surface,pt mnt
1029,261060.000,6744565.000,150.000,1006,surface,pt mnt
1030,261065.000,6744565.000,120.000,1006,surface,pt mnt
1031,261070.000,6744565.000,110.000,1006,surface,pt mnt
1032,261050.000,6744570.000,100.000,1006,surface,pt mnt
1033,261055.000,6744570.000,110.000,1006,surface,pt mnt
1034,261060.000,6744570.000,115.000,1006,surface,pt mnt
1035,261065.000,6744570.000,110.000,1006,surface,pt mnt
1036,261070.000,6744570.000,100.000,1006,surface,pt mnt
1037,261070.000,6744500.000,100.000,1007,hole diam 1m,c2pt
1038,261071.000,6744500.000,100.000,1007,hole diam 1m,c2pt
1039,261070.500,6744470.000,100.000,1008.1,iso,iso
